id,name,category,box_xyxy,width,height,description,role,click_action,image
layout_left_sidebar,Left Sidebar OpenClaw Navigation,01_layout_sections,"[0, 0, 170, 1024]",170,1024,Navigation OpenClaw complète à conserver,nav,open_section,01_layout_sections/layout_left_sidebar__left_sidebar_openclaw_navigation.png
layout_top_header,Top HUD Header,01_layout_sections,"[170, 0, 1536, 70]",1366,70,"Header avec titre, search, KPIs MRR/ARR/VIP/assets/services/maisons",hud,open_section,01_layout_sections/layout_top_header__top_hud_header.png
layout_world_map,Main Living City Map,01_layout_sections,"[170, 70, 1265, 640]",1095,570,"Carte isométrique centrale avec 15 bâtiments, routes, agents et camions",city_map,open_section,01_layout_sections/layout_world_map__main_living_city_map.png
layout_right_inspector,Right Context Inspector,01_layout_sections,"[1265, 70, 1536, 690]",271,620,Inspector de contexte Trading Tower,inspector,open_section,01_layout_sections/layout_right_inspector__right_context_inspector.png
layout_agents_bar,Agents Online Bar,01_layout_sections,"[180, 640, 1145, 708]",965,68,Barre agents en ligne,agent_bar,open_section,01_layout_sections/layout_agents_bar__agents_online_bar.png
layout_active_flows_bar,Active Flows Bar,01_layout_sections,"[180, 705, 1145, 765]",965,60,"Flux actifs, 8 flux",flows,open_section,01_layout_sections/layout_active_flows_bar__active_flows_bar.png
layout_bottom_area,Bottom Operating Area,01_layout_sections,"[170, 765, 1536, 1024]",1366,259,"Missions, calendrier, activité, mini-map",bottom,open_section,01_layout_sections/layout_bottom_area__bottom_operating_area.png
layout_missions_table,Missions Active Table,01_layout_sections,"[180, 770, 533, 1000]",353,230,Missions actives,missions,open_section,01_layout_sections/layout_missions_table__missions_active_table.png
layout_calendar,Operational Calendar,01_layout_sections,"[535, 770, 950, 1000]",415,230,Calendrier opérationnel,calendar,open_section,01_layout_sections/layout_calendar__operational_calendar.png
layout_activity_feed,Live Activity Feed,01_layout_sections,"[950, 770, 1255, 1000]",305,230,Activité en direct,activity,open_section,01_layout_sections/layout_activity_feed__live_activity_feed.png
layout_mini_map,Mini Map,01_layout_sections,"[1260, 770, 1535, 1000]",275,230,Mini carte isométrique,minimap,open_section,01_layout_sections/layout_mini_map__mini_map.png
building_01_mission_control_tower,01 Mission Control Tower,02_city_buildings_15,"[335, 85, 575, 290]",240,205,Commande mondiale,mission_control_tower,open_department_inspector,02_city_buildings_15/building_01_mission_control_tower__01_mission_control_tower.png
building_02_central_brain,02 Central Brain,02_city_buildings_15,"[585, 95, 810, 275]",225,180,Codex / Guardian registry,central_brain,open_department_inspector,02_city_buildings_15/building_02_central_brain__02_central_brain.png
building_03_iron_office,03 Iron Office,02_city_buildings_15,"[845, 92, 1055, 275]",210,183,Iron / Jack revenue and brokers,iron_office,open_department_inspector,02_city_buildings_15/building_03_iron_office__03_iron_office.png
building_04_vip_gate,04 VIP Gate,02_city_buildings_15,"[1035, 155, 1240, 360]",205,205,Clients et accès VIP,vip_gate,open_department_inspector,02_city_buildings_15/building_04_vip_gate__04_vip_gate.png
building_05_trading_tower,05 Trading Tower,02_city_buildings_15,"[210, 218, 390, 430]",180,212,Marco / Risk signal proof,mt4_signal_tower,open_department_inspector,02_city_buildings_15/building_05_trading_tower__05_trading_tower.png
building_06_youtube_studio,06 YouTube Studio,02_city_buildings_15,"[425, 245, 600, 440]",175,195,Nova / Israfil publishing,youtube_studio,open_department_inspector,02_city_buildings_15/building_06_youtube_studio__06_youtube_studio.png
building_07_site_seo_lab,07 Site SEO Lab,02_city_buildings_15,"[625, 285, 810, 465]",185,180,Atlas / Paul MKT leads,site_seo_lab,open_department_inspector,02_city_buildings_15/building_07_site_seo_lab__07_site_seo_lab.png
building_08_assets_warehouse,08 Assets Warehouse,02_city_buildings_15,"[870, 295, 1075, 480]",205,185,Lab / Brand assets,assets_warehouse,open_department_inspector,02_city_buildings_15/building_08_assets_warehouse__08_assets_warehouse.png
building_09_openclaw_barracks,09 OpenClaw Barracks,02_city_buildings_15,"[220, 440, 390, 580]",170,140,Jarod / Codex agents,openclaw_agent_barracks,open_department_inspector,02_city_buildings_15/building_09_openclaw_barracks__09_openclaw_barracks.png
building_10_paperclip_factory,10 Paperclip Factory,02_city_buildings_15,"[400, 380, 555, 545]",155,165,Sentinel / Lab automation,paperclip_factory,open_department_inspector,02_city_buildings_15/building_10_paperclip_factory__10_paperclip_factory.png
building_11_lightrag_observatory,11 LightRAG Observatory,02_city_buildings_15,"[575, 420, 760, 585]",185,165,Lab / Quant knowledge,lightrag_observatory,open_department_inspector,02_city_buildings_15/building_11_lightrag_observatory__11_lightrag_observatory.png
building_12_obsidian_library,12 Obsidian Library,02_city_buildings_15,"[755, 405, 925, 575]",170,170,Steward / Guardian memory,obsidian_library,open_department_inspector,02_city_buildings_15/building_12_obsidian_library__12_obsidian_library.png
building_13_calendar_tower,13 Calendar Tower,02_city_buildings_15,"[985, 445, 1185, 620]",200,175,Calendar / Kevin rhythm,calendar_tower,open_department_inspector,02_city_buildings_15/building_13_calendar_tower__13_calendar_tower.png
building_14_compliance_port,14 Compliance Port,02_city_buildings_15,"[360, 520, 525, 685]",165,165,Juriste / Fiscal compliance,compliance_port,open_department_inspector,02_city_buildings_15/building_14_compliance_port__14_compliance_port.png
building_15_trading_academy,15 Trading Academy,02_city_buildings_15,"[695, 525, 895, 710]",200,185,Quant / Marco education,trading_academy,open_department_inspector,02_city_buildings_15/building_15_trading_academy__15_trading_academy.png
agent_codex_map,Codex Map Avatar,03_agents_and_people,"[530, 140, 585, 205]",55,65,Codex worker on map,Codex,open_agent_work_card,03_agents_and_people/agent_codex_map__codex_map_avatar.png
agent_claude_map,Claude Map Avatar,03_agents_and_people,"[720, 120, 775, 185]",55,65,Claude worker on map,Claude,open_agent_work_card,03_agents_and_people/agent_claude_map__claude_map_avatar.png
agent_iron_map,Iron Map Avatar,03_agents_and_people,"[955, 135, 1010, 195]",55,60,Iron worker on map,Iron,open_agent_work_card,03_agents_and_people/agent_iron_map__iron_map_avatar.png
agent_jarod_map,Jarod Map Avatar,03_agents_and_people,"[295, 380, 350, 455]",55,75,Jarod worker on map,Jarod,open_agent_work_card,03_agents_and_people/agent_jarod_map__jarod_map_avatar.png
agent_atlas_map,Atlas Map Avatar,03_agents_and_people,"[750, 320, 805, 390]",55,70,Atlas worker on map,Atlas,open_agent_work_card,03_agents_and_people/agent_atlas_map__atlas_map_avatar.png
agent_kevin_map,Kevin Map Avatar,03_agents_and_people,"[1135, 465, 1190, 545]",55,80,Kevin worker on map,Kevin,open_agent_work_card,03_agents_and_people/agent_kevin_map__kevin_map_avatar.png
agent_marco_map,Marco Map Avatar,03_agents_and_people,"[855, 555, 910, 625]",55,70,Marco worker on map,Marco,open_agent_work_card,03_agents_and_people/agent_marco_map__marco_map_avatar.png
agents_online_full_bar,All Agents Online Bar,03_agents_and_people,"[188, 645, 1140, 700]",952,55,14 agents en ligne full bar,agent_bar,open_agents_roster,03_agents_and_people/agents_online_full_bar__all_agents_online_bar.png
agent_bar_01_codex,Agent Bar Codex,03_agents_and_people,"[193, 658, 265, 693]",72,35,Codex avatar from agents bar,Codex,open_agent_work_card,03_agents_and_people/agent_bar_01_codex__agent_bar_codex.png
agent_bar_02_claude,Agent Bar Claude,03_agents_and_people,"[262, 658, 335, 693]",73,35,Claude avatar from agents bar,Claude,open_agent_work_card,03_agents_and_people/agent_bar_02_claude__agent_bar_claude.png
agent_bar_03_gpt,Agent Bar GPT,03_agents_and_people,"[334, 658, 405, 693]",71,35,GPT avatar from agents bar,GPT,open_agent_work_card,03_agents_and_people/agent_bar_03_gpt__agent_bar_gpt.png
agent_bar_04_jarod,Agent Bar Jarod,03_agents_and_people,"[404, 658, 475, 693]",71,35,Jarod avatar from agents bar,Jarod,open_agent_work_card,03_agents_and_people/agent_bar_04_jarod__agent_bar_jarod.png
agent_bar_05_kevin,Agent Bar Kevin,03_agents_and_people,"[477, 658, 548, 693]",71,35,Kevin avatar from agents bar,Kevin,open_agent_work_card,03_agents_and_people/agent_bar_05_kevin__agent_bar_kevin.png
agent_bar_06_nova,Agent Bar Nova,03_agents_and_people,"[548, 658, 620, 693]",72,35,Nova avatar from agents bar,Nova,open_agent_work_card,03_agents_and_people/agent_bar_06_nova__agent_bar_nova.png
agent_bar_07_iron,Agent Bar Iron,03_agents_and_people,"[620, 658, 693, 693]",73,35,Iron avatar from agents bar,Iron,open_agent_work_card,03_agents_and_people/agent_bar_07_iron__agent_bar_iron.png
agent_bar_08_david,Agent Bar David,03_agents_and_people,"[681, 658, 755, 693]",74,35,David avatar from agents bar,David,open_agent_work_card,03_agents_and_people/agent_bar_08_david__agent_bar_david.png
agent_bar_09_marco,Agent Bar Marco,03_agents_and_people,"[744, 658, 819, 693]",75,35,Marco avatar from agents bar,Marco,open_agent_work_card,03_agents_and_people/agent_bar_09_marco__agent_bar_marco.png
agent_bar_10_risk,Agent Bar Risk,03_agents_and_people,"[807, 658, 882, 693]",75,35,Risk avatar from agents bar,Risk,open_agent_work_card,03_agents_and_people/agent_bar_10_risk__agent_bar_risk.png
agent_bar_11_quant,Agent Bar Quant,03_agents_and_people,"[858, 658, 935, 693]",77,35,Quant avatar from agents bar,Quant,open_agent_work_card,03_agents_and_people/agent_bar_11_quant__agent_bar_quant.png
agent_bar_12_atlas,Agent Bar Atlas,03_agents_and_people,"[919, 658, 995, 693]",76,35,Atlas avatar from agents bar,Atlas,open_agent_work_card,03_agents_and_people/agent_bar_12_atlas__agent_bar_atlas.png
agent_bar_13_guardian,Agent Bar Guardian,03_agents_and_people,"[980, 658, 1057, 693]",77,35,Guardian avatar from agents bar,Guardian,open_agent_work_card,03_agents_and_people/agent_bar_13_guardian__agent_bar_guardian.png
agent_bar_14_steward,Agent Bar Steward,03_agents_and_people,"[1048, 658, 1125, 693]",77,35,Steward avatar from agents bar,Steward,open_agent_work_card,03_agents_and_people/agent_bar_14_steward__agent_bar_steward.png
truck_green_trading_route,Green Truck Trading Route,04_trucks_routes_flows,"[260, 334, 397, 390]",137,56,Green truck on route near Trading Tower,truck,open_truck_mission_card,04_trucks_routes_flows/truck_green_trading_route__green_truck_trading_route.png
